Package								License
----------							----------
device/fsl							Apache2
device/fsl-proprietary						Freescale EULA
platform/bionic							Apache2
platform/bootable/recovery					Apache2
platform/build							Apache2
platform/external/busybox 					GPLv2 
platform/external/dnsmasq					GPL
platform/external/fsl_vpu_omx                                   Freescale EULA
platform/external/kernel-headers				GPL
platform/external/linux-firmware-imx				Freescale EULA, Apache2, Atheros  
platform/external/linux-lib					LGPL v2.1, Freescale EULA
platform/external/linux-test					LGPL v2.1, Freescale EULA
platform/external/mtd-utils 					GPLv2 
platform/external/ntfs-3g  					GPLv2
platform/external/powerdebug  					EPL-1.0
platform/external/ppp						BSD
platform/external/skia						Apache2, BSD
platform/external/tinyalsa					Apache2
platform/external/wpa_supplicant_8				GPLv2, BSD
platform/frameworks/av						Apache2
platform/frameworks/base					Apache2        
platform/frameworks/native					Apache2       
platform/frameworks/opt/net/ethernet				Apache2
platform/frameworks/opt/telephony				Apache2
platform/hardware/imx        					GPLv2, LGPL v2.1, Apache2
platform/hardware/libhardware					Apache2        
platform/hardware/libhardware_legacy				Apache2
platform/hardware/realtek					GPLv2, Apache2	
platform/hardware/ril						Apache2
platform/libcore						Apache2
platform/packages/apps/Camera2					Apache2
platform/packages/apps/fsl_imx_demo				Apache2	
platform/packages/apps/Gallery					Apache2
platform/packages/apps/LegacyCamera				Apache2
platform/packages/apps/Launcher2				Apache2
platform/packages/apps/Gallery2					Apache2
platform/packages/apps/Settings					Apache2
platform/packages/apps/SoundRecorder				Apache2
platform/packages/apps/DeskClock				Apache2
platform/packages/apps/Browser				Apache2
platform/packages/apps/Contacts				Apache2
platform/packages/apps/Exchange				Apache2
platform/system/core						Apache2, BSD
platform/system/vold						Apache2
platform/system/extras						Apache2
platform/system/netd						Apache2
platform/system/bt                          Apache2
platform/system/media                          Apache2
